Date,Action/State,price
"2021-11-25, Close, 2285.44"
"2021-11-26, Close, 2211.77"
"2021-11-29, Close, 2238.27"
"2021-11-30, Close, 2205.17"
"2021-12-01, Close, 2261.65"
"2021-12-02, Close, 2276.18"
"2021-12-03, Close, 2207.79"
"2021-12-06, Close, 2165.94"
"2021-12-07, Close, 2183.58"
"2021-12-08, Close, 2216.82"
"2021-12-09, Close, 2251.97"
"2021-12-10, Close, 2254.27"
"2021-12-13, Close, 2209.07"
"2021-12-14, Close, 2182.03"
"2021-12-15, Close, 2175.65"
"2021-12-16, Close, 2203.80"
"2021-12-17, Close, 2145.63"
"2021-12-20, Close, 2087.78"
"2021-12-21, Close, 2118.86"
"2021-12-22, Close, 2169.14"
"2021-12-23, Close, 2168.37"
"2021-12-24, Close, 2175.29"
"2021-12-27, Close, 2172.95"
"2021-12-28, Close, 2198.76"
"2021-12-29, Close, 2202.51"
"2021-12-30, Close, 2162.73"
"2021-12-31, Close, 2171.02"
"2022-01-03, Close, 2203.75"
"2022-01-04, Close, 2253.49"
"2022-01-05, Close, 2264.03"
"2022-01-06, Close, 2215.35"
"2022-01-07, Close, 2233.23"
"2022-01-10, Close, 2235.06"
"2022-01-11, Close, 2251.15"
"2022-01-12, Close, 2311.24"
"2022-01-13, Close, 2324.26"
"2022-01-14, Close, 2327.65"
"2022-01-17, Close, 2339.80"
"2022-01-18, Close, 2311.88"
"2022-01-19, Close, 2311.70"
"2022-01-20, Close, 2271.23"
"2022-01-21, Close, 2271.59"
"2022-01-24, Close, 2179.96"
"2022-01-25, Close, 2175.70"
"2022-01-27, Close, 2143.48"
"2022-01-28, Close, 2141.41"
"2022-01-31, Close, 2187.94"
"2022-02-01, Close, 2180.70"
"2022-02-02, Close, 2185.14"
"2022-02-03, Close, 2156.91"
"2022-02-04, Close, 2137.24"
"2022-02-07, Close, 2124.22"
"2022-02-08, Close, 2159.93"
"2022-02-09, Close, 2185.10"
"2022-02-10, Close, 2182.85"
"2022-02-11, Close, 2178.59"
"2022-02-14, Close, 2143.89"
"2022-02-15, Close, 2216.68"
"2022-02-16, Close, 2212.09"
"2022-02-17, Close, 2240.10"
"2022-02-18, Close, 2222.59"
"2022-02-21, Close, 2200.13"
"2022-02-22, Close, 2190.14"
"2022-02-23, Close, 2176.43"
"2022-02-24, Close, 2067.98"
"2022-02-25, Close, 2093.83"
"2022-02-28, Close, 2163.14"
"2022-03-02, Close, 2198.89"
"2022-03-03, Close, 2180.33"
"2022-03-04, Close, 2131.97"
"2022-03-07, Close, 2053.13"
"2022-03-08, Close, 2049.42"
"2022-03-09, Close, 2158.14"
"2022-03-10, Close, 2193.12"
"2022-03-11, Close, 2199.44"
"2022-03-14, Close, 2217.50"
"2022-03-15, Close, 2166.72"
"2022-03-16, Close, 2203.29"
"2022-03-17, Close, 2275.12"
"2022-03-21, Close, 2262.01"
"2022-03-22, Close, 2320.46"
"2022-03-23, Close, 2327.84"
"2022-03-24, Close, 2364.00"
"2022-03-25, Close, 2379.77"
"2022-03-28, Close, 2403.70"
"2022-03-29, Close, 2404.25"
"2022-03-30, Close, 2450.45"
"2022-03-31, Close, 2415.43"
"2022-04-01, Close, 2434.78"
"2022-04-04, Close, 2441.97"
"2022-04-05, Close, 2407.46"
"2022-04-06, Close, 2401.04"
"2022-04-07, Close, 2358.68"
"2022-04-08, Close, 2397.92"
"2022-04-11, Close, 2392.93"
"2022-04-12, Close, 2347.87"
"2022-04-13, Close, 2339.25"
"2022-04-18, Close, 2332.10"
"2022-04-19, Close, 2420.98"
"2022-04-20, Close, 2492.16"
"2022-04-21, Close, 2550.52"
"2022-04-22, Close, 2529.16"
"2022-04-25, Close, 2470.67"
"2022-04-26, Close, 2544.60"
"2022-04-27, Close, 2547.08"
"2022-04-28, Close, 2585.12"
"2022-04-29, Close, 2557.99"
"2022-05-02, Close, 2549.00"
"2022-05-04, Close, 2469.43"
"2022-05-05, Close, 2421.07"
"2022-05-06, Close, 2402.51"
"2022-05-09, Close, 2308.68"
"2022-05-10, Close, 2268.66"
"2022-05-11, Close, 2245.42"
"2022-05-12, Close, 2199.67"
"2022-05-13, Close, 2224.61"
"2022-05-16, Close, 2225.16"
"2022-05-17, Close, 2318.62"
"2022-05-18, Close, 2327.06"
"2022-05-19, Close, 2273.43"
"2022-05-20, Close, 2405.99"
"2022-05-23, Close, 2389.90"
"2022-05-24, Close, 2398.11"
"2022-05-25, Close, 2394.58"
"2022-05-26, Close, 2371.75"
"2022-05-27, Close, 2360.75"
"2022-05-30, Close, 2442.98"
"2022-05-31, Close, 2413.51"
"2022-06-01, Close, 2414.29"
"2022-06-02, Close, 2497.53"
"2022-06-03, Close, 2548.13"
"2022-06-06, Close, 2537.18"
"2022-06-07, Close, 2541.95"
"2022-06-08, Close, 2497.30"
"2022-06-09, Close, 2565.78"
"2022-06-10, Close, 2488.31"
"2022-06-13, Close, 2441.24"
"2022-06-14, Close, 2409.34"
"2022-06-15, Close, 2380.18"
"2022-06-16, Close, 2346.90"
"2022-06-17, Close, 2374.41"
"2022-06-20, Close, 2331.37"
"2022-06-21, Close, 2369.00"
"2022-06-22, Close, 2297.03"
"2022-06-23, Close, 2259.77"
"2022-06-24, Close, 2291.94"
"2022-06-27, Close, 2285.16"
"2022-06-28, Close, 2317.29"
"2022-06-29, Close, 2365.38"
"2022-06-30, Close, 2379.59"
"2022-07-01, Close, 2208.20"
"2022-07-04, Close, 2212.78"
"2022-07-05, Close, 2230.71"
"2022-07-06, Close, 2211.09"
"2022-07-07, Close, 2189.31"
"2022-07-08, Close, 2192.34"
"2022-07-11, Close, 2222.13"
"2022-07-12, Close, 2218.97"
"2022-07-13, Close, 2179.64"
"2022-07-14, Close, 2197.61"
"2022-07-15, Close, 2201.87"
"2022-07-18, Close, 2220.62"
"2022-07-19, Close, 2234.23"
"2022-07-20, Close, 2294.65"
"2022-07-21, Close, 2279.34"
"2022-07-22, Close, 2294.74"
"2022-07-25, Close, 2218.92"
"2022-07-26, Close, 2219.93"
"2022-07-27, Close, 2217.82"
"2022-07-28, Close, 2252.57"
"2022-07-29, Close, 2300.56"
"2022-08-01, Close, 2360.52"
"2022-08-02, Close, 2369.50"
"2022-08-03, Close, 2389.40"
"2022-08-04, Close, 2357.81"
"2022-08-05, Close, 2323.07"
"2022-08-08, Close, 2353.46"
"2022-08-10, Close, 2367.53"
"2022-08-11, Close, 2375.42"
"2022-08-12, Close, 2413.83"
"2022-08-16, Close, 2430.60"
"2022-08-17, Close, 2443.30"
"2022-08-18, Close, 2447.73"
"2022-08-19, Close, 2404.09"
"2022-08-22, Close, 2397.42"
"2022-08-23, Close, 2434.40"
"2022-08-24, Close, 2427.91"
"2022-08-25, Close, 2420.83"
"2022-08-26, Close, 2407.91"
"2022-08-29, Close, 2389.19"
"2022-08-30, Close, 2426.26"
"2022-09-01, Close, 2354.93"
"2022-09-02, Close, 2327.43"
"2022-09-05, Close, 2363.58"
"2022-09-06, Close, 2388.45"
"2022-09-07, Close, 2374.57"
"2022-09-08, Close, 2377.92"
"2022-09-09, Close, 2363.12"
"2022-09-12, Close, 2389.56"
"2022-09-13, Close, 2409.52"
"2022-09-14, Close, 2380.64"
"2022-09-15, Close, 2357.05"
"2022-09-16, Close, 2298.64"
"2022-09-19, Close, 2301.63"
"2022-09-20, Close, 2302.00"
"2022-09-21, Close, 2308.34"
"2022-09-22, Close, 2286.59"
"2022-09-23, Close, 2243.73"
"2022-09-26, Close, 2186.57"
"2022-09-27, Close, 2203.95"
"2022-09-28, Close, 2145.27"
"2022-09-29, Close, 2138.70"
"2022-09-30, Close, 2186.94"
"2022-10-03, Close, 2179.35"
"2022-10-04, Close, 2219.54"
"2022-10-06, Close, 2227.73"
"2022-10-07, Close, 2237.16"
"2022-10-10, Close, 2212.74"
"2022-10-11, Close, 2168.68"
"2022-10-12, Close, 2184.64"
"2022-10-13, Close, 2191.58"
"2022-10-14, Close, 2180.45"
"2022-10-17, Close, 2215.45"
"2022-10-18, Close, 2254.54"
"2022-10-19, Close, 2293.77"
"2022-10-20, Close, 2299.93"
"2022-10-21, Close, 2273.26"
"2022-10-24, Close, 2280.84"
"2022-10-25, Close, 2245.62"
"2022-10-27, Close, 2254.45"
"2022-10-28, Close, 2323.43"
"2022-10-31, Close, 2345.00"
"2022-11-01, Close, 2326.83"
"2022-11-02, Close, 2341.36"
"2022-11-03, Close, 2350.10"
"2022-11-04, Close, 2384.68"
"2022-11-07, Close, 2397.42"
"2022-11-09, Close, 2395.03"
"2022-11-10, Close, 2366.06"
"2022-11-11, Close, 2420.60"
"2022-11-14, Close, 2408.87"
"2022-11-15, Close, 2398.07"
"2022-11-16, Close, 2384.32"
"2022-11-17, Close, 2390.48"
"2022-11-18, Close, 2389.19"
"2022-11-21, Close, 2346.19"
"2022-11-22, Close, 2359.21"
"2022-11-23, Close, 2351.85"
"2022-11-24, Close, 2372.13"
"2022-11-25, Close, 2407.54"
